襄阳枣阳综合HD,rtsp://121.60.254.112:554/HBGD/ch22062416260418216294?AuthInfo=FIex53yT3tWP7pFshAxBTgCMnQnPSuJoT6kTCWmHy9RsE1IqcXw6Q7YlB1lsNpsQmXmQrS9rLarjoLye437pBw%3D%3D&citycode=1005&usercode=yci210124581935&Playtype=1&playtype=1&programid=ch00000000000000000664&contentid=ch00000000000000000664&videoid=ch22062416260418216294&recommendtype=0&userid=yci210124581935&boid=001&stbid=00100516060100A00000C01B234C7653&terminalflag=1&profilecode=&usersessionid=240155624
襄阳谷城综合HD,rtsp://121.60.254.112:554/HBGD/ch22072214263344818727?AuthInfo=FIex53yT3tWP7pFshAxBTu8BkNSyof3mgbeuXVYyv%2FCyDD2NvEBZ5z1N7hrip%2BLcmXmQrS9rLarjoLye437pBw%3D%3D&citycode=1005&usercode=yci210124581935&Playtype=1&playtype=1&programid=ch00000000000000000667&contentid=ch00000000000000000667&videoid=ch22072214263344818727&recommendtype=0&userid=yci210124581935&boid=001&stbid=00100516060100A00000C01B234C7653&terminalflag=1&profilecode=&usersessionid=240155625
编码测试1,rtp://239.69.1.24:9784
编码测试2,rtp://239.69.1.25:9790
编码测试3,rtp://239.69.1.26:9796
编码测试4,rtp://239.69.1.27:9802
编码测试4,rtp://239.69.1.28:9808
编码测试6,rtp://239.69.1.29:9814
编码测试7,rtp://239.69.1.30:9820
编码测试8,rtp://239.69.1.31:9826
